LOCALITY,TS_ID,POINT_ID,ZONE,ANALYSE_ID,*FeO_pct,Cr2O3_pct,CaO_pct,Na2O_pct,MgO_pct,SiO2_pct,Al2O3_pct, Mn _ ppm , Ti _ ppm , Zn _ ppm , Cu _ ppm , Ni _ ppm , Co _ ppm , V _ ppm , Sc _ ppm , K _ ppm , Cl _ ppm , Sr _ ppm , F _ ppm 
Hollinger,HOLL-01B,HOLL-01B  2 ,undefined,HOLL1B 2 ,7.013,0.009,0.09,2.038,5.841,36.798,34.21,<DL,1307,240,22,129,<DL,768,47,52,<DL,<DL,<DL
Hollinger,HOLL-01B,HOLL-01B  3 ,undefined,HOLL1B 3 ,6.2,0,0.083,2.122,5.725,36.58,33.896,<DL,1173,172,<DL,101,<DL,724,44,51,355,<DL,245
Hollinger,HOLL-01B,HOLL-01B  4 ,undefined,HOLL1B 4 ,7.064,0.034,0.125,1.942,5.833,36.898,33.877,56,920,200,<DL,91,31,657,59,31,242,<DL,<DL
Dome,DOME-03B,DOME-03B  1 ,undefined,DOME3B 1 ,4.625,0.197,0.027,2.767,7.717,36.738,32.974,<DL,2054,154,34,107,<DL,652,54,69,45,<DL,250
Dome,DOME-03B,DOME-03B  2 ,undefined,DOME3B 2 ,4.518,0.659,0.092,2.352,8.3,36.274,31.674,<DL,1965,161,<DL,101,15,575,38,54,14,<DL,424
Dome,DOME-03B,DOME-03B  3 ,undefined,DOME3B 3 ,4.191,1.136,0.095,2.813,7.814,36.665,32.421,<DL,3382,159,<DL,191,38,443,36,71,32,163,505
Dome,DOME-03B,DOME-03B  4 ,undefined,DOME3B 4 ,3.937,0.728,0.056,2.631,7.955,36.464,32.664,<DL,2401,146,<DL,116,<DL,597,51,60,<DL,56,462
Dome,DOME-03B,DOME-03B  1 ,undefined,DOME4B 1 ,7.208,0.05,0.148,2.356,6.641,36.355,31.691,<DL,3206,148,<DL,77,<DL,581,24,16,12,<DL,727
Dome,DOME-03B,DOME-03B  2 ,undefined,DOME4B 2 ,6.847,0.075,0.02,1.646,6.937,35.923,31.555,<DL,817,145,<DL,57,<DL,682,55,47,<DL,<DL,<DL
Dome,DOME-03B,DOME-03B  3 ,undefined,DOME4B 3 ,5.908,0.077,0.129,2.349,7.005,36.916,32.553,<DL,2564,199,23,34,19,652,75,2137,40,<DL,199
